Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
20-24 år,Vestland,konsulent,offentlig,0,0,annet,nei,"425 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,enig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,uenig,enig
20-24 år,Oslo,konsulent,privat,1,1,annet,"""...junior...""","550 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
20-24 år,annet,konsulent,ikke oppgitt,3,3,app,nei,"348 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,uenig,enig,enig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,offentlig,3,1,app,"""...overingeniør...""","600 500,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,in-house,privat,1,1,app,nei,"550 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, firmabil, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,1,app,annet,"571 500,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,annet,in-house,privat,4,0,app,nei,"525 300,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,uenig,uenig
20-24 år,annet,konsulent,offentlig,3,1,automatisering,"""...junior...""","220 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
20-24 år,Agder,in-house,offentlig,4,0,backend,nei,"500 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig,enig
20-24 år,Viken,in-house,privat,0,4,backend,"""...lead...""","780 000,00 kr",Nei,Ja,Nei,Jeg fikk ny arbeidsgiver,Nei,"mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), Gode videre karrieremuligheter/veier",enig,enig,uenig,uenig,uenig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
